Date,return_1m,realized_growth_10y,trend_gap,price_to_trend,vol_12m,momentum_12m,drawdown_12m,wavelet_approx_energy,wavelet_detail_energy_1,wavelet_detail_energy_2,state,state_0_prob,state_1_prob,state_2_prob,regime_label
2000-02-01,-0.020108083256356934,0.1520173073750506,0.0920173073750506,0.8162707987709039,0.1403664882654118,0.10343776895999457,-0.06998805925110596,0.003138209300928109,0.0018418828307180258,0.001804856622955119,2,0.11154077411904485,2.0368071729483803e-08,0.8884592055126943,transition
2000-03-01,0.09671982835364812,0.15991927294706354,0.09991927294706354,0.8962320152067811,0.16378598752498005,0.16496805875681808,0.0,0.002602608831085738,0.0028915818493114257,0.002592358938376459,2,4.359895556781285e-05,0.00675872404923528,0.9931976769949933,transition
2000-04-01,-0.030795755780191336,0.1594525343335258,0.0994525343335258,0.8526231092073422,0.16712677457199848,0.08781587148049486,-0.030795755780191336,0.0018143765295741633,0.002526530861502349,0.00299150913455189,2,5.038772491967358e-06,1.9395767828611922e-08,0.9999949418316333,transition
2000-05-01,-0.021915050603417807,0.14675012951861088,0.08675012951861089,0.8190533595249878,0.1664943223454751,0.09122473797368191,-0.052035915837315705,0.00286056511768336,0.0027564758349362672,0.001539952456102533,2,3.381901845876799e-08,3.8447135515850935e-09,0.9999999623364608,transition
2000-06-01,0.023933549615877237,0.15049207146332133,0.09049207146332133,0.8310225128262463,0.15994531288184327,0.05965572989104717,-0.02934777039493852,0.0030956549332966372,0.002317442232352489,0.0018232864615220327,2,2.1248662724291817e-08,1.9482155996509996e-10,0.9999999785563889,transition
2000-07-01,-0.016341275904170893,0.1491997114618957,0.0891997114618957,0.8029574292122943,0.1566287401574347,0.0768483861182041,-0.04520946628591338,0.0022157687577205104,0.0028180342366154122,0.0020684818987211253,2,5.62433593625432e-08,1.4035516807053713e-09,0.9999999423530442,transition
2000-08-01,0.06069910494167097,0.16750022228632266,0.10750022228632267,0.848980244490825,0.16451193609190884,0.14940057590050437,0.0,0.0031565812292191735,0.0023596786765627212,0.002889026932075163,2,4.5075381462860036e-07,2.3744032333961355e-10,0.9999995490089639,transition
2000-09-01,-0.053482974719764265,0.16721706655923496,0.10721706655923496,0.7811287286211899,0.17299901132584883,0.11990243586766614,-0.053482974719764265,0.003200402548070968,0.0032104402954247248,0.0011961588876275887,2,8.077405089248321e-07,3.776259484692856e-08,0.9999991544967934,transition
2000-10-01,-0.00494948542177065,0.16742239475066434,0.10742239475066434,0.7632671008421408,0.16381702948210766,0.048769906072687164,-0.05816774693784643,0.0035101393025359705,0.0024063452786457296,0.0017792466134732476,2,3.815913585355696e-05,2.8093405948030236e-08,0.9999618127705706,transition
2000-11-01,-0.08006861010730892,0.1510009254841953,0.0910009254841953,0.6680915851011244,0.18334998265231797,-0.0532504490483392,-0.13357894639476842,0.0024364547447950496,0.0030468202294528664,0.001954400621589256,2,0.01979762146660432,7.201356603713469e-05,0.9801303649673797,transition
2000-12-01,0.004053445623728669,0.14864616767662553,0.08864616767662553,0.6605881706985803,0.17128043131912465,-0.10139184665858436,-0.13006695576672578,0.0022365015338073678,0.002459944529514235,0.0032100932804795955,2,0.16418791119782192,0.013828583653564147,0.8219835051487582,transition
2001-01-01,0.03463657667616449,0.14788500622869383,0.08788500622869383,0.6831449751003573,0.16912330871483552,-0.020402128400121344,-0.09993545317701069,0.0024548455883203176,0.002901258807375169,0.0015310422681533685,2,0.17558247284686246,0.11745411243597907,0.7069634147173766,transition
2001-02-01,-0.09229073539585964,0.1294452282927765,0.0694452282927765,0.5761699499664781,0.1920412719279114,-0.0925631200299668,-0.18300307210704558,0.0035684559896082607,0.0027642166671037814,0.002011966588810377,2,0.42757566636963584,0.17571027738017272,0.3967140562499679,transition
2001-03-01,-0.06420471080339152,0.11951406034699241,0.059514060346992415,0.5004035223797123,0.1627345520923486,-0.22571368223188504,-0.235458123589672,0.0041167473505351595,0.0029479903729846286,0.0023358551253597907,0,0.9968762840923628,0.003123715842948841,6.469720885376215e-11,fragile_downturn
2001-04-01,0.07681436165439459,0.1277939222658797,0.06779392226587971,0.5643885859320719,0.1885258221885959,-0.1397451755111042,-0.1767303273951597,0.0033512342032817406,0.0028771250204379217,0.0036763992146740176,1,0.002816635993861627,0.9971833640019633,4.352206392066554e-12,supportive_uptrend
2001-05-01,0.005090187401275648,0.12410068736696078,0.06410068736696078,0.5597172515439492,0.1887687122118682,-0.11599326490830764,-0.1725397304798142,0.003213041099652624,0.003322568484762679,0.001967226979761759,0,0.9992817496971177,0.0007179583800310315,2.919230646006657e-07,fragile_downturn
